序号,单词,释义
1736,scandal,丑事，丑闻；耻辱
1737,specimen,抽样，样品
1738,extraction,抽出；提取法；摘要
1739,equator,赤道，天球赤道
1740,adore,崇拜；很喜欢
1741,worship,崇拜vi.做礼拜
1742,punch,冲压n.冲压机
1743,gear,齿轮，传动装置
1744,strife,冲突，竞争
1745,bug,虫子；臭虫
1746,persist,持续，存留
1747,proceeding,程序，行动，事项
1748,acknowledge,承认；告知收到
1749,breakfast,吃早餐
1750,shoulder,承担，挑起，肩负
1751,dine,吃饭vt.宴请
1752,offer,呈现出vi.出现
1753,length,程度，范围
1754,membership,成员资格；会员人数
1755,systematic,成体系的；分类的
1756,integrity,诚实，正直
1757,kit,成套工具；用具包
1758,commend,称赞，表扬；推荐
1759,muse,沉思，默想，冥想
1760,meditate,沉思，冥想，反省
1761,hush,沉默int.嘘！
1762,repeal,撤销；放弃
1763,brood,沉思vi.郁闭地沉思
1764,immerse,沉浸；给…施洗礼
1765,lathe,车床vt.用车床加工
1766,row,吵嚷，吵架，口角
1767,mock,嘲弄，挖苦n.嘲弄
1768,supersonic,超声的，超声速的
1769,reign,朝代
1770,ultrasonic,超声的n.超声波
1771,resident,常住者
1772,nickname,绰号，浑号
1773,surpass,超过，超越，胜过
1774,waggon,敞蓬车厢
1775,spectacle,场面；景象，奇观
1776,haunt,常去vi.经常出没
1777,visit,常去
1778,frequent,常见的；频繁的
1779,shovel,铲，铁铲vt.铲
1780,toad,蟾蜍，癞蛤蟆
1781,diesel,柴油发动机，内燃机
1782,horizon,层位
1783,errand,差使，差事
1784,ascertain,查明，确定，弄清
1785,groove,槽vt.开槽于
1786,tactics,策略；战术，兵法
1787,grassy,草多的；草似的
1788,herb,草本植物；香草
1789,manipulate,操作；控制，手持
1790,cruelty,残酷；残酷行为
1791,warehouse,仓库，货栈
1792,hatch,舱盖，舱口；短门
1793,participate,参与vt.分享
1794,participant,参加者a.有份的
1795,napkin,餐巾(纸)
1796,senator,参议员；评议员
1797,reference,参考文献；参照系
1798,spectator,参观者，观众
1799,parameter,参(变)数；参量
1800,recipe,菜谱，烹饪法；处方
1801,assumption,采取；假定；傲慢
1802,rule,裁决，裁定
1803,substance,财产；内容，本旨
1804,friction,擦热皮肤
1805,sermon,布道，讲道，说教
1806,absent,不在意的
1807,awkward,不雅观的
1808,wretched,不幸的；卑鄙的
1809,disagreement,不一致；争论
1810,immortal,不朽的；永生的
1811,misfortune,不幸，灾祸，灾难
1812,incompatible,不相容的
1813,stuffy,不透气的，闷热的
1814,instability,不稳定性；不坚决
1815,incomplete,不完全的，未完成的
1816,improper,不适当的；不合理的
1817,dissatisfaction,不满，不平
1818,irrespective,不考虑的，不顾的
1819,opaque,不透明的；不传导的
1820,inevitably,不可避免地
1821,watertight,不漏水的，防水的
1822,undesirable,不合需要的；讨厌的
1823,inaccurate,不精密的，不准确的
1824,unreasonable,不讲道理的；过度的
1825,absurd,不合理的，荒唐的
1826,irregularity,不规则；不整齐
1827,unfit,不合适的；无能力的
1828,uncertain,不定的；无常的
1829,impurity,不纯；杂质；不道德
1830,disregard,不管，不顾n.不管
1831,inadequate,不充足的，不适当的
1832,invariably,不变地，永恒地
1833,uneasy,不安的；拘束的
1834,mammal,哺乳动物
1835,supplement,补角
1836,complement,补充n.补足(物
1837,compensation,补偿，赔偿，赔偿费
1838,barge,驳船；大型游船
1839,humanitarian,博爱的n.慈善家
1840,icy,冰冷的；冷冰冰的
1841,invalid,病人a.有病的
1842,objective,宾格a.目标的
1843,fluctuation,波动；脉动；踌躇
1844,villa,别墅；城郊小屋
1845,strength,兵力；强度
1846,characterize,表示…的特性
1847,fluctuate,波动vt.使波动
1848,signify,表示，意味着
1849,ward,病房，病室；监房
1850,manifest,表明a.明白的
1851,seemingly,表面上，外表上
1852,norm,标准，规范；平均数
1853,superficial,表面的；肤浅的
1854,heading,标题，题词，题名
1855,criterion,标准，准则，尺度
1856,discrimination,辨别；识别力；歧视
1857,advocate,辩护者vt.拥护
1858,transform,变压；变换
1859,alteration,变更，改变；蚀变
1860,reason,辩论，讨论
1861,loosen,变松
1862,program,编制程序
1863,fall,变成，成为；陷于
1864,edit,编辑，编纂；校订
1865,rim,边；边缘，(眼镜)框
1866,hearth,壁炉地面；炉边
1867,verge,边缘，边界，界限
1868,fireplace,壁炉
1869,patron,庇护人；赞助人
1870,diploma,毕业文凭，学位证书
1871,indispensable,必不可少的，必需的
1872,sullen,绷着脸不高兴的
1873,breakdown,崩溃，倒塌；失败
1874,essence,本质，本体；精华
1875,bandage,绷带，包带
1876,captive,被俘虏的；被迷住的
1877,reverse,背面，反面
1878,deviation,背离，偏离；偏差数
1879,arctic,北极的n.北极
1880,tragic,悲剧性的，悲惨的
1881,grief,悲哀，悲痛，悲伤
1882,firework,爆竹，花炮，烟火
1883,wrath,暴怒，狂怒，愤慨
1884,storm,爆发vt.&vi.猛攻
1885,woe,悲哀，悲痛，苦恼
1886,vengeance,报复，报仇，复仇
1887,tyrant,暴君；专制君主
1888,grumble,抱怨，发牢骚
1889,tyranny,暴政，专制；残暴
1890,assurance,保证；财产转让书
1891,panther,豹，黑豹；美洲狮
1892,fuse,保险丝，导火线
1893,leopard,豹
1894,reservation,保留；预定，预订
1895,announce,报告的来到
1896,safeguard,保护措施；护照
1897,fortress,堡垒，要塞
1898,preservation,保存，储藏；保持
1899,mint,薄荷；薄荷糖
1900,saturation,饱和(状态)；浸透
1901,mist,薄雾vi.下薄雾
1902,chip,薄片，碎片
1903,siege,包围，围攻，围困
1904,baseball,棒球；棒球运动
1905,inclusive,包围住的；包括的
1906,scar,瘢痕
1907,embrace,包括，包含；包围
1908,radius,半径距离；界限
1909,tar,柏油，焦油
1910,trigger,扳机vt.触发，引起
1911,hemisphere,半球；半球地图
1912,blind,百叶窗；窗帘；遮帘
1913,liner,班船，定期班机
1914,millionaire,百分富翁，巨富
1915,shutter,百叶窗；(相机)快门
1916,white,白种(人)的
1917,lily,百合，百合花，睡莲
1918,bank,把钱存入银行
1919,idiot,白痴；傻子
1920,blond,白肤金发碧眼的人
1921,bestow,把…赠与
1922,subdivide,把…再分
1923,tabulate,把…制成表
1924,dock,把…引入船坞
1925,straighten,把…弄直vi.挺起来
1926,flatten,把…弄平；击倒
1927,ascribe,"把…归于,…"
1928,except,把除外，除去
1929,entitle,把…称作
1930,haughty,傲慢的，轻蔑的
1931,ballet,芭蕾舞；舞剧
1932,foul,肮脏的；丑恶的
1933,assassinate,暗杀，行刺；中伤
1934,burial,安葬，埋葬，埋藏
1935,luxurious,爱好奢侈的，豪华的
1936,patriot,爱国者，爱国主义者
1937,patriotic,爱国的
1938,dwarf,矮子，侏儒
1939,alas,唉，哎呀
1940,stout,矮胖的；坚固的
1941,pathetic,哀婉动人的；可怜的
1942,Egyptian,埃及的n.埃及人
1943,should,aux.应该，竟然会
1944,ought,aux早应该，本应
1945,referee,(足球等)裁判员
1946,scripture,《圣经》；圣书
1947,pendulum,(钟等的)摆
1948,gross,(语言、举止)粗俗的
1949,outbreak,(战争、愤怒等)爆发
1950,heave,(用力地)举起；抛
1951,shuttle,(织机的)梭
1952,pop,(意外地)出现
1953,market,(在市场上)销售
1954,lining,(衣服里的)衬里
1955,mild,(烟、酒)味淡的
1956,rigorous,(性格等)严峻的
1957,climax,(兴趣的)顶点
1958,shrimp,(小)虾，河虾，褐虾
1959,panel,(选定的)专门小组
1960,peak,(物体的)尖端
1961,epoch,(新)时代；历元
1962,drain,(水等)流掉
1963,cane,(藤等)茎；手杖
1964,switch,(树木的)软枝条
1965,immigrate,(使)移居入境
1966,expenditure,(时间等)支出，消费
1967,board,(收费)供…膳食
1968,lump,(使)成团vi.结块
1969,disperse,(使)分散；驱散
1970,elapse,(时间)过去，消逝
1971,deviate,(使)背离，偏离
1972,hoarse,(声音)嘶哑的
1973,clearing,(森林中的)空旷地
1974,pose,(使)摆好姿势
1975,eclipse,(日，月)食
1976,quiver,(轻微地)颤动
1977,shade,(色彩的)浓淡，深浅
1978,unanimous,(全体)一致的
1979,constitution,(人的)体格，素质
1980,pier,(桥)墩；码头
1981,spill,(人)摔下，跌下
1982,span,(桥墩间的)墩距
1983,perch,(禽鸟的)栖木
1984,flutter,(鸟)振翼；飘动
1985,frock,(女)上衣，罩衫
1986,clown,(马戏的)小丑，丑角
1987,resume,(谋职者的)个人简历
1988,pace,(马)溜蹄走
1989,pope,(罗马天主教的)教皇
1990,axle,(轮)轴，车轴，心棒
1991,lounge,(旅馆等的)休息室
1992,chord,(乐器的)弦vi.协调
1993,realization,(理想等的)实现
1994,pyjamas,(宽大的)睡衣裤
1995,measurement,(量得的)尺寸，大小
1996,elegant,(举止、服饰)雅致的
1997,refreshment,(精力的)恢复，爽快
1998,bishop,(基督教的)主教
1999,ticket,(交通违章)罚款传票
2000,software,(计算机的)软件
2001,hard,(酒)烈性的
2002,kernel,(果实的)核；谷粒
2003,gesture,(讲话时等)做手势
2004,insert,(肌肉)附着
2005,situation,(建筑物等的)位置
2006,wisdom,(古人的)名言，格言
2007,growl,(狗等)嗥叫；咆哮
2008,buzz,(蜂等)嗡嗡叫
2009,shaft,(工具的)柄，杆状物
2010,breed,(动物)品种
2011,ear,(稻麦等的)穗
2012,dean,(大学)院长，系主任
2013,sink,(厨房内的)洗涤槽
2014,fertile,(创造力)丰富的
2015,ranch,(北美洲的)大牧场
2016,versus,(比赛等中)对
2017,grope,(暗中)摸索，探索
2018,pedlar,(挨户兜售的)小贩
2019,squat,(使)蹲下
2020,scrub,擦洗，擦净
2021,rally,(重新)集合
2022,tread,踩，踏，践踏
2023,fling,(用力)扔，抛
2024,crack,发出爆裂声
2025,escort,护卫，护送
2026,slander,诽谤，诋毁
2027,swell,使膨胀，隆起
2028,menace,(进行)威胁
2029,tramp,步行，跋涉
2030,suicide,自杀
2031,tighten,(使)变紧
2032,jingle,(使)丁当响
2033,trample,践踏，蹂躏
2034,thrill,(使)激动
2035,fret,(使)烦恼
2036,tilt,(使)倾斜
2037,revolve,(使)旋转
2038,deflect,(使)偏斜
2039,rotate,(使)旋转
2040,repay,偿还，报答
2041,compensate,补偿，赔偿
2042,hoe,锄地
2043,default,不履行；缺席
2044,scoff,嘲笑，嘲弄
2045,infer,猜想，臆测
2046,retort,反击；反驳
2047,broaden,放宽，变阔
2048,chorus,合唱
2049,decompose,腐败；分解
2050,beware,谨防，当心
2051,grab,攫取，抓取
2052,riot,骚乱，暴乱
2053,entreat,恳求
2054,urge,强烈希望
2055,supervise,监督，监视
2056,shrug,耸(肩)n.耸肩
2057,concentrate,浓缩，提浓
2058,revive,苏醒；复兴
2059,terminate,停止，终止
2060,dazzle,炫耀；迷惑
2061,transplant,移植，移种
2062,peck,啄，啄起
2063,xerox,用静电复印
2064,trot,(马)小跑，慢跑
2065,solidify,团结；凝固
2066,ridicule,嘲弄，挖苦
2067,sneer,冷笑；嘲笑
2068,boycott,联合抵制
2069,chatter,喋喋不休
2070,plunder,掠夺，劫掠
2071,endeavor,努力，尽力
2072,scramble,爬行，攀登
2073,flap,拍打vi.拍动
2074,credit,相信，信任
2075,tow,拖引，牵引
2076,clockwise,顺时针方向转的
2077,slaughter,屠杀，屠宰
2078,headlong,头向前的(地)
2079,counter,相反的(地)
2080,melancholy,忧郁(的)，悲伤
2081,eastward,向东的，向东
2082,bulletin,告示，公告，公报
2083,Moslem,穆斯林(的)
2084,allowancen,津贴，补助费
